alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Salsa de ajonjolí,5.0,75.0,72.0,3.4,4.4,6.0,2.7,0.1,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cda,0.0,9.699999999999999e-06,0.0,0.0,0.0,0.032600000000000004,0.0,0.52,0.0,0.0
Salsa de cacahuate verde,2.0,34.0,67.0,3.5,5.1,1.8,2.7,1.6,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cda,0.0,3.3999999999999996e-06,0.0,0.0,0.0,0.0463,0.0,0.2804,0.0,0.0
Salsa de pimienta,2.0,34.0,67.0,3.5,5.1,1.8,2.7,1.6,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cda,0.0,2.2999999999999996e-06,0.0,0.0,0.0,0.04870000000000001,0.0,0.1677,0.0,0.0
Salsa de queso,2.0,34.0,67.0,3.5,5.1,1.8,2.7,0.5,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cda,0.0,2.2999999999999996e-06,0.0,0.0,0.0,0.10540000000000001,0.0,0.0,0.0,0.0
Salsa pesto,24.0,24.0,66.0,3.1,5.5,0.9,0.0,0.0,0.0,,,0.0,0.0,1.3,1.3,grasas,1.0,cdta,0.0,6.95e-05,0.0,0.055200000000000006,0.0003,0.1032,0.0,0.0,0.0,0.0
Selección de botana mexicana,10.0,10.0,62.0,2.3,5.0,2.0,0.7,0.2,0.0,,,0.7,2.3,0.0,0.0,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.001,0.12,0.0,0.0,0.0,0.0
Semilla de calabaza,11.0,11.0,61.0,3.4,5.1,1.6,0.9,0.7,0.0,,,0.9,1.9,0.0,0.0,grasas,1.5,cda,0.0,4.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semilla de calabaza menuda,15.0,15.0,65.0,5.3,4.1,3.0,0.7,0.0,0.0,,,0.7,1.5,0.0,0.0,grasas,2.0,cda,5.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semilla de chía,12.0,12.0,66.0,3.3,5.6,1.8,0.0,0.0,0.0,,,1.2,0.9,0.0,0.0,grasas,1.0,cdta,0.0,6.7e-06,0.0,0.0766,0.0009000000000000001,0.117,0.0,0.0,0.0,0.0
Semilla de girasol tostada,12.0,12.0,69.0,2.7,6.0,2.1,1.2,0.4,0.0,,,0.7,1.5,3.7,3.7,grasas,1.0,cdta,1.8399999999999997e-05,8.4e-05,0.0,0.0006,0.0006,0.0857,0.0,0.0,0.0,0.0
Semilla de girasol,12.0,12.0,71.0,2.4,6.0,2.9,1.3,0.0,0.0,,,0.6,1.2,4.0,4.0,grasas,1.0,cdta,2.87e-05,0.00010329999999999999,0.0,0.0005,0.0004,0.1401,0.0,0.0,0.0,0.0
Tocino de pavo,30.0,30.0,68.0,4.8,5.1,0.6,0.0,0.0,0.0,,,1.4,1.9,0.0,0.0,grasas,1.0,rebanada,0.0,0.0,0.0,0.0,0.0,0.3207,0.0,0.0,0.0,0.0
Tocino vegetariano,20.0,20.0,63.0,2.3,6.0,1.3,0.3,0.5,0.0,,,1.0,1.5,3.0,3.0,grasas,1.0,rebanada,0.0,0.0,0.0,0.0,0.0,0.2925,0.0,0.0,0.0,0.0
Vinagreta miel y mostaza,12.0,12.0,49.0,0.0,3.9,4.3,0.9,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,1.5,cda,0.0,0.0,0.0,0.0,0.0,0.1542,0.0,0.0,0.0,0.0
Adams Decmint menta,2.0,2.0,40.0,0.0,0.0,9.6,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams Halls cereza,4.0,4.0,44.0,0.0,0.0,10.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams Halls Colors,4.0,4.0,44.0,0.0,0.0,10.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams Halls limón,4.0,4.0,43.0,0.0,0.0,10.7,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copley miel de abeja,,85.0,117.0,0.0,0.0,85.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,taza,0.0,0.0,0.0,0.04,0.0,1.0666,0.4,0.0,0.0,0.0
Aceites para ensalada bajos en calorias y grasa,,117.0,117.0,0.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,azucares,1.0,lata,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
